"CAS","Name","study_pk","route","study_duration","reliability","dummy","Jahr","adrenal.gland","Adrenal.gland_Weight.increased","bladder","body.weight","Body.weight.decreased","body.weight.gain.decreased","bone","bone.marrow","brain","ClinChem_Hepatotox","ClinChem_Nephrotox","CNS","female.reproductive.organ","haematology","haematopoiesis","heart","intestine","kidney","Kidney_degeneration","Kidney_Inflammation.Regeneration","Kidney_rat_specific_nephropathy","kidney_weight_increased","liver","Liver_Degeneration","Liver_hypertrophy","liver_inflammation..regeneration","Liver_weight_increased","male.accessory.gland","male.reproductive.organ","male.reproductive.organ_degeneration","RBC","RBC_Erythrocytes","RBC_haematocrit","RBC_Haemoglobin","spleen","thymus","thyroid.gland","WBC","WBC_leucocytes","WBC_lymphocytes"
18181801,"Bromopropylate",1961,"gavage",28,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,2,,
96184,"1,2,3-Trichloropropane",81,"drinking water",91,"B",,,,,,,1,,,,1,,,,,,,,,,1,1,,1,1,1,,,1,,,,,,,,,,2,,,
77474,"Hexachlorocyclopentadiene",1127,"gavage",91,"B",,,,,,,1,,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,
95681,"2,4-Xylidine",2,"inhalation",28,"B",,,,,,,1,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,
66215278,"N-cyclopropyl-1,3,5-triazine-2,4,6-triamine",3009,"inhalation",28,"B",,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,
479458,"Tetryl",33,"feed",90,"B",,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,,1,,,,,1,,1,1,,,,,
89634,"4-Chloro-2-nitroaniline",1834,"gavage",91,"B",,,,,,,2,,,,1,2,,,,2,,,,,,,1,2,,,,,1,,,,,,,,,,,,1,1
7659861,"Thioglycolic acid 2-ethylhexyl ester",1055,"feed",28,"B",,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,1,1
120821,"1,2,4-Trichlorobenzene",2204,"feed",90,"B",,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,,2,,,
55406536,"3-Iodo-2-propynyl butylcarbamate",2266,"gavage",90,"B",,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
123319,"Hydroquinone",350,"gavage",91,"B",,,,,,,,,,,,,,2,,,,,,,1,2,,,1,,,,1,,,,,,,,,,,,,
81492,"1-Amino-2,4-dibromoanthraquinone",1927,"feed",91,"A",,,,,,,1,,,,,,,2,,,1,,2,1,,,,,2,2,2,,1,,,,,,,,,1,,,,
333415,"Diazinon",334,"feed",90,"B",,,,,,,1,,,,,,,1,,1,,,,,,,,1,,,1,,1,,,,,1,1,1,,,,,1,
105602,"Caprolactam",919,"feed",90,"B",,,,,,,2,,,,2,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,2,,,
76017,"Pentachloroethane",3627,"gavage",21,"B",,,,,,,,,,,,,,1,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,
25154523,"Nonylphenol",4493,"feed",90,"A",,,,,,,1,,,,,,,,,,,,,,1,,,1,,1,,,1,,,,,,,,,,,,,
51036,"Piperonyl butoxide",4373,"feed",28,"B",,,,2,,,2,,,,2,,,,,,,,,,,,,2,,1,,1,1,,,,,,,,,,,,,
98851,"alpha-Methylbenzyl alcohol",3581,"gavage",91,"B",,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,
104905,"5-Ethyl-2-picoline",1985,"gavage",28,"B",,,,,,,2,,,,,2,2,,,,,,,,,,2,2,,,,,1,,,,,,,,,,,,,
1241947,"Diphenyl-2-ethylhexyl phosphate",1011,"feed",90,"B",,,2,,,,1,,,,,,,,1,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,
151213,"Sodium Lauryl Sulfate",3817,"feed",91,"A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
125122,"Isobornyl acetate",1074,"gavage",91,"A",,,,,,,,,,,,,,,,,,,2,,1,,,2,,2,,,2,,,,,,,,,,,,,
